spa,quz
pero ¿por qué tanto esfuerzo por prolongar nuestra vida?,¿imaraykutaq unaytari kawsayta munanchis?
¿por qué queremos vivir indefinidamente?,¿imanaqtinmi wiñaypaq kawsayta munanchis?
"o como dijo el periódico británico the times: “¿por qué esta obsesión universal de burlar a la muerte mediante la inmortalidad, la resurrección, la vida en el más allá o la reencarnación? ”.","huk periodicopas nirqanmi: “lliw runan mana wañuyta munanchu, otaq wañuspapas kawsarimpuytan munanku, wañusqanku qhepaman huk ladopi kawsashallayta otaq huk cuerpopi kutimuytapas, ¿imaraykun chhaynata yuyaykunku? ”, nispa."
"la respuesta, como veremos ahora, dejará al descubierto la verdadera causa del envejecimiento.",chayta kutichinapaqmi yachasun imaraykupuni machuyasqanchista.
"por miles de años, mucha gente ha buscado la respuesta a esa pregunta.",unaymantañan askha runakuna chayta yachayta munarqanku.
otros se cuestionan por qué nuestros cuerpos parecen tener la capacidad de vivir indefinidamente.,wakintaqmi tapukunku imarayku wiñayta kawsanapaq hina kamasqa kasqanchista.
¿existe alguna explicación lógica?,¿kanchu sut’i kutichiy chay tapuyman?
porque la han encontrado en la biblia.,bibliapi kutichiyta tarisqankurayku.
"en efecto, lo dotó con la capacidad de demostrar amor, justicia y sabiduría.","runatan ruwarqan munakuyniyoq, yachayniyoq chanin kananpaq."
"y siendo, como es, el eterno, implantó en nosotros el deseo de vivir para siempre.","eclesiastés kimsayug: chunka jukniyuq texton nin: ‘ payllataq runaq sonqonman wiñay kasqanta churarqan ’, nispa (diosmanta qhelqasq."
"eclesiastés tres: once dice que “puso la eternidad en el corazón del hombre ” (nueva reina valera, mil novecientos noventa).",wiñay kawsaq diosqa runakunaq sonqonpin churarqan wiñay kawsayta munanankupaq.
"una de ellas es la gran capacidad del cerebro, especialmente para aprender.","hukninmi ñosqhonninchis imayna ruwasqa kasqan, chayqa imaymanata yachananpaq hinan kashan."
una enciclopedia que trata sobre este órgano y sus enfermedades declara que la memoria a largo plazo del cerebro es “prácticamente ilimitada ”.,"huk libron ñosqhonmanta onqoyninkunamantawan rimaspa nin: “ñosqhonqa unayta imatapas yuyananpaq hinan, mana yupana atiytan chaykunata waqaychan ”, nispa."
¿para qué tener un cerebro tan vasto si no lo vamos a utilizar?,wañupunanchiskamaqa pisichallatan ñosqhonninchistaqa utilizanchis.
hasta en este detalle se puede ver claramente cuál era el propósito original de dios para nosotros.,chaypin rikunchis wiñaypaq kawsanapaq dios kamawasqanchista.
"entonces, ¿por qué envejecemos y morimos?","chhaynaqa, ¿imaraykun machuyaspa wañupunchis?"
el primer hombre y la primera mujer tenían un cuerpo perfecto y libertad de elección.,ñawpa qharipas warmipas ch’uya cuerpoyoqmi karqanku atirqankutaqmi imatapas akllakuyta.
"lamentablemente, usaron mal esa libertad y le dieron la espalda a su creador.",ichaqa mana allinta akllakuspan kamaqninkuta qhepancharqanku .
" su desobediencia, o pecado, les produjo sentimientos de culpa y vergüenza; además, resultó en que sus cuerpos se deterioraran y dio inicio a una marcha lenta e inevitable hacia la muerte."," chay mana kasukusqankuqa huchan karqan chaymi p’enqasqa llakisqa sientekurqanku, hinaspapas cuerponkun manaña ch’uyachu kapurqan hinan machuyaspanku wañupurqanku."
"“el aguijón que produce muerte es el pecado ”, señala uno corintios quince: cincuenta y seis.",corintios chunka phichqa.niyuq: phichqa. chunka suqtayug textoq nisqan hina huchan wañuyta paqarichirqan.
"de acuerdo con las leyes físicas de la herencia, todos los descendientes de adán y eva nacieron imperfectos y con la inclinación a hacer lo que es malo, a pecar.","adán evaq mirayninkuna kasqanchisraykun mana ch’uyachu nacerqanchis, herenciata hinan saqewarqanchis huchata."
"romanos cinco: doce dice: “por medio de un solo hombre el pecado entró en el mundo, y la muerte mediante el pecado, y así la muerte se extendió a todos los hombres porque todos habían pecado ”.","romanos phichqa.niyuq: chunka iskayniyuq texton nin: “imaynan huk runallawan huchaqa kay pachapi qallarirqan, huchawantaq wañuypas rikhurirqan, chay hinallataqmi, wañuyqa llapa runaman chayarqan llapallan huchallikusqankurayku ”, nispa."
¿qué se puede concluir de esto?,¿imatan chaymanta yachasunman?
pero ¿lo hará?,"hucharayku wañuy kasqantaqa diosllan atin tatichiyta allichaytapas, ichaqa ¿munanchu chay ruwayta?"
la biblia responde con otro rotundo sí.,"arí munanpunin, chaytan biblia sut’ita willan."
dios ya ha dado importantes pasos para eliminar el pecado y la muerte: envió a jesús a morir por nosotros.,diosqa huchatapas wañuytapas tukuchinanpaqmi churinta kachamurqan ñoqanchisrayku wañunanpaq.
¿cómo nos ayuda la muerte de cristo?,¿imaynatan yanapawanchis cristoq wañusqan?
él nació perfecto y nunca pecó.,payqa mana huchayoqmi nacerqan.
entregó su vida por voluntad propia para pagar por nuestros pecados; dio su vida como “rescate en cambio por muchos ”.,chhaynapin “askha runa kacharichisqa ” karqanku.
"pronto, todos podremos beneficiarnos a plenitud de ese rescate, que entre otras cosas logrará lo que dicen los siguientes versículos.","pisi tiempollamantan chay sacrificio ruwasqan tukuypi allinninchispaq kanqa, wakinkunan qatimuq textokunapi tarikun."
"entonces, ¿cuánto tiempo se puede vivir?","chhaynaqa, ¿atisunmanchu unaypaq kawsayta?"
"la respuesta de la biblia es clara: el ser humano puede tener la esperanza de vivir para siempre, una esperanza que se cumplirá cuando dios elimine de la tierra la maldad.","biblian sut’ita nin runaqa wiñaypaq kawsayniyoq kananta, chaymi hunt’akunqa kay pachapi mana allin kaqkunata dios chinkachiqtin ."
y lo que es más: él cumplirá nuestro deseo.,wiñaypaq kawsay munasqanchisqa manan huchachu.
"ahora bien, nosotros debemos hacer nuestra parte.","chhaynatan diosqa kamawarqanchis, chay munasqanchistataqmi qowasunchis ."
"por ejemplo, debemos tener fe en dios.",ichaqa ñoqanchispas kallpachakunanchismi.
"la fe no es credulidad, sino una convicción lógica basada en conocimiento exacto de la biblia.",iñiyqa manan creeyllachu aswanpas bibliaq yachachisqan sut’i kasqanta reparaspa creeymi.
"el apóstol pablo indica, de todas formas, que “el amor al dinero es raíz de toda suerte de cosas perjudiciales ”.","apóstol pablo niran, “qolqe sonqo kaymi tukuy mana allinkunaq saphinqa ”, nispa."
la rebelión de adán y eva hizo surgir varias cuestiones morales relacionadas con dios.,adán evaq mana kasukusqankuqa imaymana tapukuykunatan diosmanta paqarichirqan.
es interesante destacar que jesús previno contra “toda suerte de codicia ”.,jesusqa anyaranñan “tukuy imaymana munapayaymanta ”.
"en efecto, la codicia puede adoptar diversas formas.","arí, imaymanatan munapayasunman."
"la biblia contiene numerosísimos ejemplos de personas que pecaron gravemente, empujadas por una forma u otra de codicia.","bibliaq willasqan hina, askha runakunan hatun huchaman urmaykuranku munapayaq kasqankumanta."
"martin, que efectuaron un estudio histórico con más de mil quinientas personas nacidas alrededor de mil novecientos diez, aseguran que ser concienzudo y tener un buen número de amigos y familiares son dos indicadores muy precisos de longevidad.","martin medicokunan waranqa phisqa pachak runakunata estudiarqanku waranqa jisq'un pachak chunka watapi naceqkunata, chaypin yacharqanku allin yuyaywan kawsaqqa, askha amigokunayoq, familiayoq kaqqa askha watakuna kawsasqanta."
“las personas concienzudas cuidan más su salud y corren menos riesgos comentan friedman y martin .,"friedman, martin medicokunan ninku: “allin yuyaywan kawsaqkunaqa saludninkutan cuidanku manan kawsayninku hawaqa imatapas ruwankuchu."
"es más difícil que fumen, beban en exceso, usen drogas o excedan los límites de velocidad.","manan fumankuchu, nitaq machankuchu nitaq drogakunkuchu manataqmi comuntachu manejankupas."
y se aseguran de usar el cinturón de seguridad y seguir las indicaciones del médico.,carropi rispapas cinturontan churakunku medicoq nisqanman hinataq hampikunkupas.
"en su estudio, notaron que quienes vivieron más también “tuvieron fuertes vínculos sociales y acostumbraban a ayudar a los demás ”.",hinaspapas chay estudiasqankupin repararqanku “amigonkunawan sumaqta kawsaqkuna hukkunata yanapaqkuna aswan unayta kawsasqankuta ”.
"la idea popular de que los buenos mueren antes que los malos se derrumba ante el análisis científico, aseguran los autores.","“allin runan ñawpaqta wañupun millay runamantaqa ” nisqa rimayqa, cientificokunaq estudiasqankuman hinaqa manan cheqaqchu."
más de dos mil millones de personas dicen ser cristianas.,iskay waranqa millón más runakunan cristoq qatikuqnin kanku.
"la mayoría pertenece a religiones que enseñan la trinidad, el credo según el cual el padre, el hijo y el espíritu santo componen un solo dios.","yaqa llapankun trinidad yachachikuypi creenku, chay yachachikuy nisqan hinaqa taytawan, churiwan, santo espirituwanqa ch’ulla diosllas kanku."
¿cómo se convirtió la trinidad en una doctrina oficial?,¿imaynapitaq trinidadmanta yachachikuyri iglesiakunaq yachachikuynin kapurqan?
"y más importante aún, ¿tiene base bíblica?",¿bibliaq yachachisqanman hinachu kashan?
la biblia se completó en el siglo i.,bibliaqa pachak watapaqqa hunt’asqañan karqan.
"en cambio, las ideas que dieron origen a la trinidad comenzaron a formularse oficialmente en el año trescientos veinticinco más de dos siglos después en un concilio celebrado en asia menor, en la ciudad de nicea (la actual iznik, en turquí.","trinidadmanta yachachikuymi ichaqa kimsa pachak iskay chunka phichqa.niyuq watapiña iglesiaq yachachikuynin hina rikhurimurqan, chayqa karqan asia menor ladopi nicea llaqtapin (kunanqa iznik llaqtan, turquía nacionp."
pero ¿por qué se consideró necesario definir a dios y a cristo siglos después de haberse completado la biblia?,"ichaqa, ¿imanaqtintaq diospas cristopas pichus kasqankuta chayraq yachachikurqan iskay pachak wata masña biblia hunt’asqa kashaqtinri?"
¿es que la biblia no deja clara esta importante cuestión?,¿manachu biblia sut’ita willan pichus diospas cristopas kasqanta?
"cuando constantino se convirtió en el gobernante absoluto del imperio romano, quienes afirmaban ser cristianos no lograban ponerse de acuerdo sobre la relación que hay entre dios y cristo.",roma nacionpi constantino rey kasqan tiempopin cristianon kayku niq runakuna ch’aqwasharqanku diosmanta cristomantapas.
"¿fue jesús creado por dios, o era él dios?","¿diospa kamasqanchu jesús karqan, icha paychu dios karqan?"
"a fin de zanjar la cuestión, constantino convocó a los líderes de la iglesia a reunirse en nicea, no porque quisiera descubrir la verdad, sino porque no quería que la religión dividiera su imperio.","chayta allichananpaqmi constantino reyqa iglesiapi umallikunata waqyachimurqan nicea llaqtapi huñukunankupaq, chaytaqa ruwarqan manan cheqaqta yachananpaqchu aswanpas kamachisqan runakuna mana t’aqanasqa kanankupaqmi."
"constantino pidió a los cientos de obispos allí reunidos que llegaran a un acuerdo unánime, pero no fue posible.","constantino reyqa chay kutipi huñukuq umallikunatan nirqan decidinankupaq, ichaqa yuyaykusqankutan mana tupachirqankuchu."
entonces les propuso formular una idea ambigua: jesús es “consustancial del griego homoóusios al padre ”.,"chaymi mana entiendekuq yachachikuyta rikhurichimurqan, chaypin yachachikurqan jesusqa taytan kikillan kasqanta (griego simipi homoóusios nisq."
este término filosófico griego contrario a las escrituras sentó las bases para el surgimiento de la trinidad según se estableció más tarde en los credos de la iglesia.,"kay yachachikuyqa grecia runakunaq yachachikuyninman hinan kasharqan manataq bibliaman hinachu, chay yachachikuypin saphichasqa kashan trinidad yachachikuyqa."
"para finales del siglo iv, la trinidad básicamente había tomado la forma que conocemos hoy, incluida la idea de que el espíritu santo era la tercera figura de la divinidad.","yaqa tawa pachak watapaqqa trinidad yachachikuyqa kunan tiempopi yachachikusqan hinañan kasharqan, santo espiritupas chay yachachikuypin hukllachasqa karqan."
jesús dijo que “los verdaderos adoradores adorarían al padre con verdad ”.,jesusmi nirqan: ‘ cheqaq adoraqkuna yayata cheqaq kaywan adoranankuta ’.
esta verdad se halla en la biblia.,chay cheqaq kayqa bibliapin tarikun.
"¿enseña la biblia que el padre, el hijo y el espíritu santo sean tres personas en una?","¿yachachinchu biblia taytawan, churiwan, santo espirituwan dioskuna kasqankuta hinaspataq huk dioslla kasqankuta?"
"para empezar, la palabra trinidad no aparece en las escrituras.",bibliapiqa manan rikhurinchu trinidad simiqa.
una prueba adicional la encontramos en la relación que jesús tenía con sus seguidores.,aswanmi payqa diosta yupaycharqan servirqanpas.
él los llamó “mis hermanos ” incluso después de su resurrección como ser espiritual.,kawsarimpusqan qhepamanpas jesusqa qatikuqninkunatan nirqan ‘ wawqeykuna ’ nispa.
"más bien llegaron a ser hijos de dios gracias a su fe en cristo, el primero de los hijos de dios.","aswanpas diospa wawankunan kapurqanku cristopi iñisqankurayku, jesuspas diospa phiwi wawanmi karqan."
comparemos otros versículos con la siguiente declaración del credo atribuido al concilio de nicea.,kunanqa rikusun nicea llaqtapi yachachikuy horqosqanku bibliaq yachachisqanwan tupanchus icha manachus chayta.
lo que dice el credo niceno:,nicea yachachikuypa nisqan:
"“creemos en un solo señor jesucristo hijo de dios, nacido de la sustancia del padre, dios de dios, luz de luz, dios verdadero de dios verdadero ”.","“diospa churin jesucristo señorllapin iñiyku , taytanmantan rikhurimurqan , diosqa diosmanta, k’anchay k’anchaymanta, cheqaq dios cheqaq diosmanta ”."
lo que dice la biblia:,¿imatan biblia yachachin?
"“ven, sí, y reunámonos ”",“hamuy huñukusun ”
las citas de esta sección han sido tomadas de la biblia de jerusalén.,k’iranpasqa letrakunaqa ñoqaykuqmi.
el manual de estudio bíblico ¿qué enseña realmente la biblia?,¿imatapunin biblia yachachin?
incluye estas dos lecciones: “¿cuál es la verdad acerca de dios? ”,"nisqa libropin “¿imatan biblia yachachin diosmanta?, ¿pitaq jesucristori? ”"
"satanás fue el primero en codiciar algo que pertenecía a otro: la gloria, honra y autoridad que solo jehová merece.","ñawpaqtaqa satanasmi jehová diospa hatunchayninta, yupaychayninta, atiynintawan munapayaran."
para entender mejor nuestra époc,para entender mejor nuestra époc
